,cell1_cu_watts,cell1_du_watts,cell1_ru_watts,cell1_cu_joules,cell1_du_joules,cell1_ru_joules,cell1_total_watts,cell1_total_joules,cell2_cu_watts,cell2_du_watts,cell2_ru_watts,cell2_cu_joules,cell2_du_joules,cell2_ru_joules,cell2_total_watts,cell2_total_joules
2025-09-29 15:17:40,0.1578297676155446,13.15248063464068,51.2,27577.563087000002,139984.744128,8441.5,64.51031040225622,176003.80721499998,0.1578297676155446,13.15248063464068,50.9,27577.563087000002,150224.155953,8392.5,64.21031040225623,186194.21904
2025-09-29 15:17:45,0.10196661493044284,12.592876943872742,51.3,27578.043365,140052.749521,8698.0,63.99484355880318,176328.79288599998,0.10196661493044284,11.369277564720178,50.8,27578.043365,150288.99310199998,8646.5,62.27124417965062,186513.53646699997
2025-09-29 15:17:50,0.0716358451890855,12.60790875330511,51.2,27578.577048,140116.560459,8954.0,63.8795445984942,176649.137507,0.0716358451890855,13.968989811889587,50.9,27578.577048,150353.73345300002,8901.0,64.94062565707867,186833.31050100003
2025-09-29 15:17:55,0.07469504501518366,11.204256752224051,51.2,27579.002392,140177.79581,9210.0,62.47895179723923,176966.798202,0.07469504501518366,11.50303693228988,50.9,27579.002392,150418.370426,9155.5,62.47773197730506,187152.872818
2025-09-29 15:18:00,0.04347284259945225,10.476955066476888,51.2,27579.256984000003,140232.841485,9466.0,61.72042790907634,177278.09846900002,0.04347284259945225,11.30293907586154,50.9,27579.256984000003,150476.440964,9410.0,62.24641191846099,187465.69794800002
2025-09-29 15:18:05,0.09873501908111439,12.539347423317242,51.3,27579.727468,140300.449074,9722.5,63.938082442398354,177602.676542,0.09873501908111439,11.897569799284385,50.7,27579.727468,150545.716464,9663.5,62.696304818365505,187788.943932
2025-09-29 15:18:10,0.05397565571338157,12.360425158360696,51.1,27580.052054,140365.12113100002,9978.0,63.51440081407408,177923.17318500002,0.05397565571338157,12.900181715506786,50.8,27580.052054,150612.35246,9917.5,63.75415737122017,188109.904514
2025-09-29 15:18:15,0.0,11.225382825083518,51.2,27580.427858,140426.97590000002,10234.0,62.42538282508352,178241.40375800003,0.0,11.225382825083518,50.9,27580.427858,150677.546236,10172.0,62.12538282508352,188429.974094
2025-09-29 15:18:20,0.05058516639536189,12.443950933284329,51.2,27580.750774,140486.03708200002,10490.0,63.694536099679695,178556.787856,0.05058516639536189,12.84863226441962,50.9,27580.750774,150734.07493300003,10426.5,63.79921743081498,188741.32570700004
2025-09-29 15:18:25,0.04644234007737559,10.72818055782862,51.2,27581.993289,140550.919107,10746.0,61.974622897906,178878.912396,0.04644234007737559,12.167893100209577,50.7,27581.993289,150803.104839,10680.0,62.914335440286955,189065.098128
2025-09-29 15:18:30,0.04752225643611262,12.40330892983944,51.2,27582.369447999998,140617.605603,11002.0,63.65083118627555,179201.97505100002,0.04752225643611262,11.690475083290186,50.7,27582.369447999998,150871.066667,10933.5,62.4379973397263,189386.936115
2025-09-29 15:18:35,0.05793694836560208,11.471515776397114,51.2,27582.815248,140682.178667,11258.0,62.72945272476272,179522.993915,0.05793694836560208,11.355641879663276,50.9,27582.815248,150937.612601,11188.0,62.31357882802888,189708.427849
2025-09-29 15:18:40,0.08570864030814059,12.170626923752065,51.1,27583.189361,140746.08588000003,11513.5,63.35633556406021,179842.77524100002,0.08570864030814059,13.884799729922673,50.9,27583.189361,151002.06434399998,11442.5,64.87050837023081,190027.75370499998
2025-09-29 15:18:45,0.056075203624377956,13.738424887989176,51.1,27583.476587,140808.409915,11769.0,64.89450009161355,180160.886502,0.056075203624377956,13.682349684353323,50.8,27583.476587,151063.625666,11696.5,64.5384248879777,190343.60225300002
