,cu_watts,du_watts,ru_watts,cu_joules,du_joules,ru_joules,total_watts,total_joules
2025-09-29 09:07:20,0.0,,50.9,26105.79266,,57224.0,50.9,83329.79266
2025-09-29 09:07:25,0.05022188522425984,,50.6,26107.118461,,57477.0,50.65022188522426,83584.118461
2025-09-29 09:07:30,0.04866989929129,,50.6,26107.508278,,57730.0,50.64866989929129,83837.508278
2025-09-29 09:07:35,0.10777888330109023,,50.6,26107.887719000002,,57983.0,50.70777888330109,84090.887719
2025-09-29 09:07:40,0.05873728701612155,,50.8,26108.180605,,58237.0,50.85873728701612,84345.180605
2025-09-29 09:07:45,0.044311393276536465,,50.7,26108.499841999997,,58490.5,50.74431139327654,84598.99984199999
2025-09-29 09:07:50,0.08810806451504227,,50.6,26109.12894,,58743.5,50.68810806451504,84852.62894
2025-09-29 09:07:55,0.08712592719148698,,50.6,26109.999488999998,,58996.5,50.68712592719149,85106.499489
2025-09-29 09:08:00,0.08992102820769626,,50.6,26110.340377999997,,59249.5,50.6899210282077,85359.840378
2025-09-29 09:08:05,0.0,,50.7,26110.643665,,59503.0,50.7,85613.643665
2025-09-29 09:08:10,0.05175222903716306,,50.6,26110.969266,,59756.0,50.651752229037164,85866.969266
2025-09-29 09:08:15,0.10678369186837317,,50.6,26111.359123,,60009.0,50.706783691868374,86120.359123
2025-09-29 09:08:20,0.057367842662223646,,50.6,26111.698969,,60262.0,50.657367842662225,86373.698969
2025-09-29 09:08:25,0.0,,50.8,26112.054068,,60516.0,50.8,86628.054068
2025-09-29 09:08:30,0.08444307652310777,,50.6,26112.463592,,60769.0,50.68444307652311,86881.463592
2025-09-29 09:08:35,0.11716879155894716,,50.6,26112.845646,,61022.0,50.71716879155895,87134.845646
2025-09-29 09:08:40,0.228624879884628,,50.6,26113.390475999997,,61275.0,50.82862487988463,87388.390476
2025-09-29 09:08:45,0.05196500463098536,,50.8,26113.784333,,61529.0,50.85196500463098,87642.784333
2025-09-29 09:08:50,0.06854598727510633,,50.6,26114.176753000003,,61782.0,50.66854598727511,87896.176753
2025-09-29 09:08:55,0.14890062469054485,,50.6,26114.546969,,62035.0,50.74890062469055,88149.546969
2025-09-29 09:09:00,0.0860126242788163,,50.6,26114.848654,,62288.0,50.68601262427882,88402.848654
2025-09-29 09:09:05,0.0965128940571129,,50.6,26115.226545,,62541.0,50.696512894057115,88656.226545
2025-09-29 09:09:10,0.049839536597876564,,50.7,26115.529468,,62794.5,50.74983953659788,88910.029468
2025-09-29 09:09:15,0.05573802309115757,,50.6,26115.833007999998,,63047.5,50.65573802309116,89163.333008
2025-09-29 09:09:20,0.1707613465186491,,50.6,26116.200973000003,,63300.5,50.770761346518654,89416.700973
2025-09-29 09:09:25,0.04507842795041625,,50.8,26116.555791,,63554.5,50.84507842795041,89671.05579099999
2025-09-29 09:09:30,0.08969151616012039,,50.6,26116.903999,,63807.5,50.689691516160124,89924.403999
2025-09-29 09:09:35,0.10694885866838767,,50.7,26117.278314,,64061.0,50.80694885866839,90178.278314
2025-09-29 09:09:40,0.3779823315052171,,50.6,26118.220112,,64314.0,50.97798233150522,90432.220112
2025-09-29 09:09:45,0.2284349794964152,,50.6,26119.544667000002,,64567.0,50.828434979496414,90686.54466700001
